Date,Close,High,Low,Open,Volume
2023-03-13,369.4242858886719,374.2463095850396,364.90906558564376,366.0210998932848,157790000
2023-03-14,375.5309448242188,377.1798194710275,371.0444528978628,374.351798026972,149752400
2023-03-15,373.1821899414063,373.38349766674736,367.8425178859198,369.9323910671056,172996900
2023-03-16,379.729736328125,380.074864540284,370.3158428605711,370.8239247170232,143254200
2023-03-17,375.2897033691406,379.5334763060183,373.9039803951704,378.3979622867853,140553400
2023-03-20,378.8983154296875,379.3121292855333,375.3666692245707,376.06913373609086,93055800
2023-03-21,383.8734436035156,384.3545965453815,380.6689485650316,382.2663798560957,91524200
2023-03-22,377.3298034667969,387.318544760657,377.29133237000224,383.7002940562463,111746600
2023-03-23,378.3498229980469,384.239130397535,375.6361133164018,380.1974338773298,119351300
2023-03-24,380.8325500488281,380.9191540535127,374.7219018688471,377.0699305533351,107682400
2023-03-27,381.544677734375,383.88310351821207,380.6497402466303,383.113241135813,74010400
2023-03-28,380.688232421875,381.5446694300476,378.8502245684134,380.8518079845922,62871700
2023-03-29,386.2215270996094,386.4621036046712,383.65215710396006,384.8550396292689,77497900
2023-03-30,388.4829406738281,389.1084336951085,386.6160647001772,388.85822473969705,69840000
2023-03-31,393.9584655761719,394.25677808538353,389.3008787149844,389.4067476454537,112062600
2023-04-03,395.4596252441406,395.86377728046097,393.04422801384897,393.4387769608017,67391100
2023-04-04,393.265625,396.3931196515644,391.8895050342017,396.1044102172239,66601500
2023-04-05,392.2358703613281,393.29441266985214,390.5807031245207,392.5341828254698,65200200
2023-04-06,393.7659912109375,394.0450681714436,390.3882877815402,391.43719778873736,63743300
2023-04-10,394.170166015625,394.2471669450841,390.6673872737357,391.2832478731585,63681000
2023-04-11,394.2760314941406,395.6809900883233,393.50619840980073,394.7956849780574,59297900
2023-04-12,392.6689147949219,396.63363981226826,392.0819222861502,396.3449304189456,86420400
2023-04-13,397.8846435546875,398.2406920585318,392.6111963601302,393.75634279356007,85814800
2023-04-14,396.9127197265625,399.443589174648,394.6031912280039,397.2495326959301,78161500
2023-04-17,398.3369445800781,398.356180127704,395.59436663010166,396.82611712486937,66436400
2023-04-18,398.59674072265625,400.0498321097644,397.2206502574761,399.9150951800139,63560000
2023-04-19,398.5293884277344,399.4339289760812,396.62401213094887,396.68174813685937,55227300
2023-04-20,396.3546142578125,398.10601828904817,394.8052862710272,395.7098562929952,75840400
2023-04-21,396.66253662109375,397.1244246963598,394.7090566567866,396.6529041637765,73457400
2023-04-24,397.0763549804688,397.4997719970421,395.122874849699,396.4604650046347,64332100
2023-04-25,390.7732543945313,395.6617859061053,390.7155183769912,395.10363191354855,97766700
2023-04-26,389.1180114746094,392.46684668077467,388.559886957205,391.3890687387205,80447000
2023-04-27,396.8645629882813,397.134007454216,391.4082758440462,391.6584847650015,92968400
2023-04-28,400.2519226074219,400.26155506482286,395.9215456607,395.97928167060974,89433100
2023-05-01,399.8477478027344,401.8781992260224,399.6167744089802,399.8092473425676,62122300
2023-05-02,395.353759765625,399.1837478908785,392.4476064659251,399.1356149746384,103998500
2023-05-03,392.64007568359375,398.26957154429016,392.3994991884123,395.8541741351487,91531800
2023-05-04,389.8589782714844,391.9182975436162,388.5213590280541,391.5911170748567,94901900
2023-05-05,397.0763549804688,398.12526506376383,393.23676319139554,393.4965752558721,87891800
2023-05-08,397.1821594238281,397.6633124121759,395.7772009206819,397.4035003706773,50046800
2023-05-09,395.44036865234375,396.55664705489033,395.2094246267295,395.6328415851866,49220100
2023-05-10,397.2879943847656,398.9142936957152,393.4580063527656,398.2791682813285,96142900
2023-05-11,396.5951843261719,396.8838643849846,394.5165998009732,396.4219762908843,70157100
2023-05-12,396.0754699707031,398.04821462684833,393.65046974768575,397.8365061605119,70481500
2023-05-15,397.4419860839844,397.8461381335402,394.7667767427343,396.6817561677767,54289400
2023-05-16,394.7860412597656,397.2591747577228,394.77640880213,396.3353398421656,57705500
2023-05-17,399.5782775878906,400.1845056184392,395.16129716185526,396.80683197926186,87287000
2023-05-18,403.4275512695313,403.850968255046,399.0394382989679,399.26074988190857,97177200
2023-05-19,402.8404846191406,404.8613328497813,401.61836671819,404.332076360272,103793300
2023-05-22,403.004150390625,404.5438459115557,401.6184273585124,402.8598103596236,60745400
2023-05-23,398.4812927246094,402.9367742560176,398.08674373587735,401.35857830108944,86383500
2023-05-24,395.5943298339844,397.2591296170941,394.4299479150844,396.8742131296412,89213700
2023-05-25,399.0201416015625,400.4732329300767,396.86458575045214,399.106745609804,90961600
2023-05-26,404.1877136230469,404.90944304818487,399.5975250513779,399.6744966018046,93830000
2023-05-30,404.34173583984375,406.6512644109919,402.95601282370507,406.1220078476712,72216000
2023-05-31,402.0994873046875,403.417841561441,400.5309241406112,402.51327175353487,110811800
2023-06-01,405.919921875,406.9784643429913,401.0795238946496,402.33050994129945,88865000
2023-06-02,411.78997802734375,412.5790465929496,407.9696222034908,408.4988787329244,91426200
2023-06-05,411.0008544921875,413.4258547804784,410.298360615152,412.13636840253633,65460200
2023-06-06,411.8958435058594,412.4251000685976,409.93273100728186,410.5871214183071,64022200
2023-06-07,410.4715881347656,413.4258744271593,410.0481711705742,412.2903604628489,85373300
2023-06-08,412.954345703125,413.4066306619177,409.7691154453124,410.5389484373123,61952800
2023-06-09,413.6953125,415.7065283650919,412.70413856902655,413.7530485062901,85742800
2023-06-12,417.44830322265625,417.5253041431819,413.9551573440261,414.6768867959098,76104300
2023-06-13,420.2005310058594,420.8452595641231,418.2470510492617,418.91104452208407,95899700
2023-06-14,420.7008666992188,422.5100064056292,417.246192203358,420.5372911495027,100612100
2023-06-15,425.9165649414063,427.1675507697199,419.78668152163175,419.8828886105457,110303100
2023-06-16,424.4658508300781,428.4742491472454,423.99257880127806,427.9043831698667,114165800
2023-06-20,422.2635803222656,423.4129803403792,420.1869433864263,422.5243868914883,76160400
2023-06-21,420.10009765625,422.0801410350752,419.5108951805997,421.2784731312149,76982300
2023-06-22,421.6164855957031,421.722718296799,418.80576994281824,419.1438339963334,70637200
2023-06-23,418.4290771484375,420.21596194306784,417.7143350211186,418.1586317913709,92074500
2023-06-26,416.7195129394531,419.7813378209466,416.4780427984246,417.8592449307871,72823600
2023-06-27,421.2880859375,421.9062340935396,417.1444505822348,417.5984155696539,72813700
